,snapped_at,price,market_cap,total_volume,stars,forks,issues_opened,issues_closed,pulls_opened,pulls_merged,pulls_closed,commits,issue_comments
91,2015-11-07,0.922482091197951,68761146.27837914,904631.8699629814,0,0,0,0,0,0,0,0,2
92,2015-11-08,1.030499514179018,76839299.32470989,1040086.754503368,0,0,0,0,0,0,0,0,2
93,2015-11-09,0.9958029845225516,74277547.07634276,1972521.3874033373,0,0,0,0,0,0,0,0,2
94,2015-11-10,0.93483422190165,69753492.14382021,865031.5412400892,0,0,0,0,1,0,0,1,5
95,2015-11-11,0.7887611772679245,58873875.70678452,1243322.7527190507,0,0,2,2,0,1,0,1,5
96,2015-11-12,0.90074206650109,67254888.20415637,826829.6689207307,0,0,1,1,0,0,0,0,3
97,2015-11-13,0.9040815579448992,67527257.40972713,545086.2658886773,0,0,0,0,0,0,0,1,3
98,2015-11-14,0.8842289054037304,66066714.4889687,361586.11600976856,0,0,0,0,1,0,0,0,3
99,2015-11-15,0.910825548196164,68078325.7946219,432023.407831642,0,0,0,0,0,0,0,0,4
100,2015-11-16,0.933840783957846,69812830.40735959,616346.9298519328,0,0,3,2,1,0,0,3,3
101,2015-11-17,0.9952733578828388,74440734.3005621,1128249.5445129166,0,0,3,0,2,1,1,4,4
102,2015-11-18,0.9944285799213992,74402718.74542972,687203.3331021931,0,0,1,1,2,2,0,6,3
103,2015-11-19,0.9514712892422664,71212297.76056388,434385.481510446,0,0,1,2,1,5,0,7,2
104,2015-11-20,0.926803118959178,69388368.57982641,606560.338362119,0,0,0,0,2,2,0,6,3
105,2015-11-21,0.9735724342696528,72914368.80252853,454926.9190034523,0,0,0,0,1,0,0,0,3
106,2015-11-22,0.96473853235469,72276339.25126061,371962.8833336563,0,0,1,1,0,0,0,0,3
107,2015-11-23,0.9452203362307195,70839197.81949022,437126.3942683309,0,0,0,3,1,1,0,2,3
108,2015-11-24,0.8993611354663962,67424299.39769948,354914.08621214016,0,0,1,1,2,1,0,5,3
109,2015-11-25,0.8677070917677269,65072847.332706206,708867.1776788787,0,0,1,3,2,1,0,2,3
110,2015-11-26,0.8948747707881739,67132055.60740013,959696.471943832,0,0,1,1,0,3,0,4,4
111,2015-11-27,0.8707128002545287,65341845.39288888,398595.4996438545,0,0,3,0,3,2,1,4,4
112,2015-11-28,0.9173987754375574,68868768.28657502,465064.93868912815,0,0,1,0,0,0,0,0,3
113,2015-11-29,0.8717449537893333,65463342.96555324,436939.13020833576,0,0,0,1,1,1,0,2,4
114,2015-11-30,0.8736009320890139,65624853.97047546,775372.5405749859,0,0,2,0,1,1,0,4,3
115,2015-12-01,0.8750039976447704,65752486.02943543,643109.8579217136,0,0,4,4,10,5,3,9,3
116,2015-12-02,0.8227337811375524,61844779.03171155,494205.8928479953,0,0,1,0,1,2,0,3,4
117,2015-12-03,0.8247651888810106,62018808.08501765,541681.1368684795,0,0,12,0,5,2,1,5,4
118,2015-12-04,0.8387909512811372,63094325.07829986,241947.49444270384,0,0,0,0,1,1,0,3,2
119,2015-12-05,0.8645837297560469,65056337.64166404,226084.41071520853,0,0,2,1,0,0,0,0,2
120,2015-12-06,0.8349924869606098,62850264.41510667,429681.2894745185,0,0,2,1,0,0,0,0,3
121,2015-12-07,0.8007502839259887,60292476.61320164,494657.61802976346,0,0,0,0,1,3,2,5,2
122,2015-12-08,0.8188527088752511,61675859.110314034,435966.8088482381,0,0,1,1,1,1,0,1,2
123,2015-12-09,0.7918293483107267,59661067.18085799,627128.9260492469,0,0,2,1,0,1,1,2,3
124,2015-12-10,0.8474422420390545,63872552.27588074,374543.0058671018,0,0,1,2,2,1,0,1,4
125,2015-12-11,0.9167389424445134,69119370.62718369,765839.8738111159,0,0,1,0,2,0,0,2,3
126,2015-12-12,0.9712583097472548,73250296.07272834,1385279.0437324098,0,0,2,0,0,0,0,0,4
127,2015-12-13,0.9583031735578238,72302484.28350292,279257.6104401555,0,0,1,0,0,0,0,0,4
128,2015-12-14,0.9954898346339888,75133022.39506158,562723.38601539,0,0,1,2,3,2,3,3,4
129,2015-12-15,1.0170637001075,76787012.60189861,573171.6204861925,0,0,5,4,1,1,1,2,4
130,2015-12-16,0.9889124423815732,74686005.22814946,207316.98728030303,0,0,1,0,1,1,0,4,4
131,2015-12-17,0.9402283251940492,71033582.40629953,641112.3505143464,0,0,1,0,1,2,0,4,4
132,2015-12-18,0.921171783109932,69616990.9878865,297866.39712775947,0,0,0,1,1,5,0,5,4
133,2015-12-19,0.9096329169325174,68767429.85047308,333313.4238328429,0,0,0,0,0,0,0,0,3
134,2015-12-20,0.9032316429089904,68305705.24538197,467489.5933259762,0,0,2,0,0,0,0,0,3
135,2015-12-21,0.8968062870238118,67842615.39188164,543846.3978062818,0,0,2,1,0,0,0,1,4
136,2015-12-22,0.8789593130596947,66514758.19337365,468144.5604338489,0,0,2,0,0,0,0,0,3
